cDNA #,Compound,"treatmentstage",sex,Day,DayL,N,rpL32,Kr-h1,E93,PkE93-1,PkE93-2,PkE93-3,br-1,br-2,br-3
203,Control,N3D0,female,1,A,1,2.81E-03,4.22E-05,9.75E-06,1.77E-06,3.33E-07,6.94E-08,1.29E-06,3.91E-05,6.71E-05
204,Control,N3D0,female,1,A,1,4.05E-03,6.70E-05,1.81E-05,1.85E-06,3.36E-07,9.38E-08,1.01E-06,3.33E-05,2.80E-05
205,Control,N3D0,female,1,A,1,1.16E-02,9.58E-05,3.81E-05,5.16E-06,1.08E-06,1.44E-07,5.26E-06,8.94E-05,1.29E-04
206,Control,N3D0,female,1,A,1,5.19E-03,7.69E-05,2.78E-05,3.62E-06,5.92E-07,1.67E-07,4.03E-06,3.94E-05,9.86E-05
207,Mimic,N3D0,female,1,A,1,2.81E-03,9.39E-05,4.46E-05,1.59E-05,1.08E-06,2.39E-08,2.19E-06,1.28E-05,8.69E-05
209,Mimic,N3D0,female,1,A,1,1.61E-03,3.51E-06,4.14E-06,5.95E-07,1.22E-07,1.00E-07,6.68E-08,5.51E-06,4.13E-06
210,Mimic,N3D0,female,1,A,1,1.86E-03,4.98E-05,1.92E-05,6.48E-06,8.36E-07,1.33E-07,7.21E-07,9.42E-06,4.88E-05
211,Mimic,N3D0,female,1,A,1,1.35E-03,4.40E-05,1.38E-05,3.54E-06,3.52E-07,1.25E-07,1.66E-06,3.98E-06,4.17E-05
212,Control,N3D0,female,4,D,1,2.95E-03,3.57E-06,1.52E-05,4.05E-06,1.29E-07,9.94E-08,4.76E-06,1.20E-05,1.22E-05
213,Control,N3D0,female,4,D,1,4.96E-03,7.72E-06,5.75E-05,2.27E-05,5.52E-07,2.59E-08,1.75E-05,1.77E-05,2.57E-05
214,Control,N3D0,female,4,D,1,1.18E-02,3.64E-05,2.78E-05,1.10E-05,4.46E-07,1.29E-07,4.30E-06,3.94E-05,4.02E-05
221,Mimic,N3D0,female,4,D,1,8.66E-03,1.61E-04,1.89E-04,1.12E-04,4.26E-06,8.34E-08,1.73E-06,6.30E-05,5.97E-05
222,Mimic,N3D0,female,4,D,1,3.37E-03,1.40E-04,2.08E-04,7.33E-05,1.62E-06,2.18E-07,2.74E-06,7.35E-05,9.14E-05
223,Mimic,N3D0,female,4,D,1,7.99E-03,1.29E-04,1.30E-04,4.55E-05,1.08E-06,1.74E-07,4.56E-06,6.25E-05,6.25E-05
215,Control,N3D0,female,5,E,1,9.12E-03,5.53E-05,1.86E-04,6.54E-05,2.79E-06,1.71E-07,1.81E-04,6.80E-05,1.06E-04
216,Control,N3D0,female,5,E,1,1.10E-02,4.20E-05,1.48E-04,5.41E-05,9.81E-07,4.58E-08,4.00E-05,3.78E-05,4.60E-05
217,Control,N3D0,female,5,E,1,9.96E-03,2.07E-05,2.01E-04,8.33E-05,4.61E-06,1.48E-07,1.89E-04,4.37E-05,8.16E-05
