cDNA#,Compound,Treatment,TreatmentStage,Sex,DAT,DayL,N,rpL32,Kr-h1,E93,PkE93-1,PkE93-2,PkE93-3
203,Methanol,Control,N3D0,female,1,A,1,0.00281,0.0000422,0.00000975,0.000001765,3.333E-07,6.944E-08
204,Methanol,Control,N3D0,female,1,A,1,0.00405,0.000067,0.0000181,0.000001847,3.363E-07,9.378E-08
205,Methanol,Control,N3D0,female,1,A,1,0.0116,0.0000958,0.0000381,0.000005162,0.000001081,1.435E-07
206,Methanol,Control,N3D0,female,1,A,1,0.00519,0.0000769,0.0000278,0.000003619,5.923E-07,1.668E-07
281,Methanol,Control,N3D0,female,2,B,1,0.01247,0.0000473,0.00002261,0.000001528,4.653E-07,1.791E-07
282,Methanol,Control,N3D0,female,2,B,1,0.00844,0.00003376,0.00001156,2.448E-07,1.614E-07,1.413E-07
283,Methanol,Control,N3D0,female,2,B,1,0.01257,0.00006584,0.0000244,0.000002146,4.782E-07,1.292E-07
287,Methanol,Control,N3D0,female,3,C,1,0.02542,0.0001729,0.00008953,0.000001425,3.772E-07,8.049E-08
288,Methanol,Control,N3D0,female,3,C,1,0.02355,0.00004987,0.00009795,0.00003813,0.000002837,2.007E-07
289,Methanol,Control,N3D0,female,3,C,1,0.03251,0.000114,0.0001125,0.000006218,0.000001247,1.448E-07
212,Methanol,Control,N3D0,female,4,D,1,0.00295,0.00000357,0.0000152,0.000004053,1.294E-07,9.942E-08
213,Methanol,Control,N3D0,female,4,D,1,0.00496,0.00000772,0.0000575,0.0000227,5.519E-07,2.594E-08
214,Methanol,Control,N3D0,female,4,D,1,0.0118,0.0000364,0.0000278,0.00001099,4.463E-07,1.288E-07
215,Methanol,Control,N3D0,female,5,E,1,0.00912,0.0000553,0.000186,0.0000654,0.000002785,0.000000171
216,Methanol,Control,N3D0,female,5,E,1,0.011,0.000042,0.000148,0.00005414,9.807E-07,4.575E-08
217,Methanol,Control,N3D0,female,5,E,1,0.00996,0.0000207,0.000201,0.00008329,0.000004612,1.484E-07
218,Methanol,Control,N3D0,female,6,F,1,0.00748,0.0000497,0.000103,0.00003738,0.000001581,1.245E-07
219,Methanol,Control,N3D0,female,6,F,1,0.0116,0.0000497,0.000245,0.0001382,0.000006397,1.081E-07
