cDNA ID,"previouscDNA #",Sex,Day after oviposition,Stage,rpL32,Kr-h1,E93-1,E93-2,E93-3
exp1,40,Male,0,ED0,1.88E-02,3.40E-05,6.23E-06,1.28E-06,4.44E-08
exp2,41,Male,1,ED1,1.11E-02,4.73E-05,4.52E-06,8.95E-07,1.26E-07
exp3,42,Male,2,ED2,2.18E-02,1.22E-04,4.64E-06,1.47E-06,3.08E-07
exp4,43,Male,3,ED3,3.62E-02,1.96E-03,5.55E-05,4.80E-06,1.64E-06
exp5,44,Male,4,ED4,2.79E-02,1.18E-03,3.30E-05,5.15E-06,1.31E-06
exp6,45,Male,5,ED5,2.98E-02,3.06E-03,1.42E-04,1.05E-05,7.42E-06
exp7,46,Male,6,ED6,2.85E-02,2.81E-03,7.66E-05,5.11E-06,3.72E-06
exp8,47,Male,7,ED7,1.29E-02,1.90E-03,5.40E-05,2.90E-06,8.34E-06
exp9,48,Male,8,ED8,5.64E-03,1.17E-03,5.78E-06,2.33E-06,4.95E-06
exp10,49,Male,9,"E,E,N1",1.45E-02,1.73E-03,6.28E-06,3.94E-06,1.12E-05
exp11,50,Male,10,N1 walking,8.03E-03,1.54E-04,4.13E-06,4.14E-06,2.99E-06
exp12,51,Male,11,N1,7.12E-03,1.67E-04,5.04E-06,4.40E-06,2.94E-06
exp13,52,Male,12,N1,5.93E-03,1.18E-04,3.21E-06,2.14E-06,1.26E-06
exp14,53,Male,13,N1,1.16E-02,1.90E-04,3.39E-06,2.12E-06,4.81E-07
exp15,54,Male,14,N1,2.17E-02,2.90E-04,1.53E-05,4.80E-06,4.53E-07
exp16,55,Male,15,N1,2.57E-02,2.63E-04,5.62E-06,3.62E-06,4.13E-07
exp17,56,Male,16,N1,4.00E-02,6.02E-04,1.97E-04,1.85E-05,8.10E-07
exp18,57,Male,17,N1,4.45E-02,4.96E-04,1.26E-04,1.39E-05,1.00E-06
exp19,58,Male,18,N1,2.93E-02,3.23E-04,1.20E-05,6.22E-06,6.03E-07
exp20,59,Male,19,N1,2.15E-02,3.39E-04,9.15E-05,8.65E-06,1.00E-06
exp21,60,Male,20,N1,3.40E-02,3.76E-04,1.01E-04,9.28E-06,7.08E-07
exp22,61,Male,21,N1,1.30E-02,2.23E-04,3.34E-05,3.43E-06,3.70E-07
exp23,1,Male,22,N2D0,1.20E-02,1.59E-04,6.15E-06,2.75E-06,3.61E-07
exp24,2,Male,23,N2D1,2.12E-02,1.80E-04,1.33E-05,6.52E-06,4.20E-07
exp25,3,Male,24,N2D2,1.77E-02,1.57E-04,2.29E-05,6.57E-06,2.56E-07
exp26,4,Male,25,N2D3,2.70E-02,1.90E-04,2.28E-05,8.51E-06,7.14E-07
exp27,5,Male,26,N2D4,5.85E-03,9.71E-05,1.55E-05,5.49E-06,3.21E-07
exp28,6,Male,27,N2D5,1.03E-02,2.52E-04,6.28E-05,9.58E-06,7.39E-07
exp29,7,Male,28,N2D6,7.38E-03,2.29E-04,3.41E-05,6.57E-06,5.93E-07
exp30,8,Male,29,N2D7,5.34E-03,1.52E-04,3.88E-05,4.95E-06,1.16E-06
exp31,9,Male,30,N2D8,6.27E-03,1.47E-04,7.60E-05,7.69E-06,1.00E-06
exp32,10,Male,31,PreD0,4.87E-03,1.83E-04,1.31E-04,7.63E-06,1.69E-06
exp33,11,Male,32,PreD1,5.04E-03,6.24E-05,2.52E-04,1.69E-05,1.90E-06
exp34,12,Male,33,PreD2,5.37E-03,5.79E-06,1.44E-03,1.11E-04,2.99E-06
exp35,13,Male,34,PreD3,4.80E-03,1.74E-05,1.52E-03,8.97E-05,2.10E-06
exp36,14,Male,35,PuD0,6.45E-03,4.04E-06,2.74E-03,1.50E-04,8.67E-07
exp37,15,Male,36,PuD1,5.26E-03,6.65E-06,2.37E-03,1.08E-04,8.81E-07
exp38,16,Male,37,PuD2,3.62E-03,1.96E-05,1.34E-03,3.67E-05,5.36E-07
exp39,17,Male,38,PuD3,3.02E-03,1.13E-05,1.46E-03,4.90E-05,6.62E-07
exp40,18,Male,39,PuD4,1.79E-03,1.22E-05,1.01E-03,3.42E-05,3.90E-07
exp41,19,Male,40,PuD5,2.31E-03,1.12E-05,9.86E-04,2.94E-05,3.96E-07
exp42,84,Male,41,AdD0,3.19E-03,5.71E-05,1.38E-03,5.26E-05,6.73E-07
exp43,85,Male,42,AdD1,2.05E-03,3.82E-05,1.02E-03,1.40E-05,3.77E-07
exp44,62,Female,0,ED0,1.95E-02,4.64E-05,8.60E-06,1.59E-06,4.87E-08
exp45,63,Female,1,ED1,1.17E-02,1.38E-04,3.46E-06,1.20E-06,1.42E-07
exp46,64,Female,2,ED2,1.05E-02,6.20E-05,1.16E-05,7.83E-07,6.43E-08
exp47,65,Female,3,ED3,1.82E-02,1.40E-04,4.94E-06,1.41E-06,1.80E-07
exp48,66,Female,4,ED4,1.59E-02,4.17E-03,1.04E-04,8.65E-06,7.23E-06
exp49,67,Female,5,ED5,1.69E-02,2.64E-03,5.74E-05,6.47E-06,8.63E-06
exp50,68,Female,6,ED6,6.10E-03,1.07E-03,1.29E-05,2.09E-06,6.32E-06
exp51,69,Female,7,"E,E,N1",2.06E-03,1.24E-04,1.56E-06,1.62E-07,4.31E-07
exp52,70,Female,8,"E,N1,N1",5.30E-03,4.29E-04,2.70E-06,3.53E-06,5.48E-06
exp53,71,Female,9,N1,2.20E-03,4.10E-05,1.20E-06,4.18E-07,3.52E-07
exp54,72,Female,10,N1,2.75E-03,4.33E-05,1.37E-06,1.06E-06,3.83E-07
exp55,73,Female,11,N1,6.82E-04,4.98E-06,2.32E-07,2.49E-07,8.00E-08
exp56,74,Female,12,N1,4.87E-02,2.84E-04,4.94E-06,3.19E-06,8.74E-07
exp57,75,Female,13,N1,1.90E-02,1.80E-04,4.42E-06,2.14E-06,2.78E-07
exp58,76,Female,14,N1,7.21E-05,5.38E-07,1.20E-07,1.47E-07,3.12E-08
exp59,77,Female,15,N1,1.55E-02,2.18E-04,9.21E-06,4.91E-06,5.74E-07
exp60,78,Female,16,N1,2.21E-02,3.08E-04,5.98E-05,7.75E-06,4.00E-07
exp61,79,Female,17,N1,2.79E-02,3.69E-04,7.30E-05,6.37E-06,7.39E-07
exp62,80,Female,18,N1,1.56E-02,4.23E-04,6.23E-05,6.73E-06,5.59E-07
exp63,81,Female,19,N1,1.79E-02,1.58E-04,2.11E-05,4.27E-06,7.57E-07
exp64,82,Female,20,N1,1.58E-02,3.00E-04,7.45E-05,5.98E-06,5.74E-07
